id,srcLatitude,srcLongitude,destLatitude,destLongitude,distance,parent
11864,59.38,10.79,56.92,23.97,821.4341248,0
11865,51.33,46.02,44.23,43.08,821.280504,0
11866,45.65,12.19,38.91,16.24,821.2137264,0
11867,38.28,114.7,31.74,118.86,820.8413642,0
11868,29.34,120.03,34.52,113.84,820.840204,0
11869,35.55,139.78,42.78,141.69,820.6848024,0
11870,-28.8,24.77,-33.96,18.6,820.4224663,0
11871,53.5,50.15,55.41,37.91,820.4123001,0
11872,43.18,-0.01,45.67,9.7,820.3946662,0
11873,34.9,-82.22,42.21,-83.35,820.3356539,0
11874,51.45,5.37,53.42,-6.27,820.1991259,0
11875,35.21,-80.94,41.34,-75.72,820.1793803,0
11876,24.54,118.13,25.22,110.04,820.1654545,0
11877,39.79,106.8,39.78,116.39,820.1259866,0
11878,40.98,-85.2,33.64,-84.43,819.9544187,0
11879,41.8,12.59,47.44,19.26,819.900842,0
11880,45.63,8.73,41.14,16.76,819.8769461,0
11881,38.51,-122.81,32.73,-117.19,819.8003664,0
11882,48.35,11.79,42.56,18.27,819.6409811,0
11883,27.98,-82.53,35.21,-80.94,819.6318771,0
11884,31.61,-8.04,27.93,-15.39,819.5346358,0
11885,54.03,-132.13,49.19,-123.18,819.4191248,0
11886,0.92,104.53,-6.13,106.66,819.2327124,0
11887,52.17,20.97,44.82,20.31,819.1946375,0
11888,45.2,7.65,52.31,4.76,818.9629508,0
11889,-7.38,112.79,-1.27,116.89,818.8519992,0
11890,24.54,118.13,31.14,121.81,818.8381928,0
11891,43.54,16.3,47.59,7.53,818.7248536,0
11892,48.11,16.57,46.24,6.11,818.5477485,0
11893,40.79,-111.98,33.43,-112.01,818.5180567,0
11894,37.13,-76.49,33.64,-84.43,818.4585459,0
11895,47.46,8.55,49.21,-2.2,818.4429215,0
11896,45.65,12.19,51.45,5.37,818.2571894,0
11897,35.24,-120.64,33.43,-112.01,818.2231525,0
11898,22.64,113.81,29.34,117.18,818.1325796,0
11899,40.64,-73.78,42.21,-83.35,818.0678213,0
11900,45.51,12.35,38.18,13.09,818.0525883,0
11901,44.11,15.35,43.44,5.21,817.9392992,0
11902,36.24,43.96,33.82,35.49,817.935618,0
11903,40.79,-111.98,44.05,-103.06,817.8037045,0
11904,43.4,132.15,37.47,126.45,817.6910372,0
11905,-10.87,-61.85,-15.65,-56.12,817.6733068,0
11906,45.65,12.19,50.9,4.48,817.3913814,0
11907,22.99,-82.41,20.09,-75.16,817.297675,0
11908,35.02,110.99,31.74,118.86,817.2446202,0
11909,16.56,-93.03,21.04,-86.88,817.1887297,0
11910,9.07,-79.38,12.14,-86.17,817.1213088,0
11911,48.07,37.74,55.41,37.91,816.4660684,0
11912,39.12,117.35,37.47,126.45,816.3978215,0
11913,45.4,10.89,52.56,13.29,816.3931346,0
11914,36.64,109.55,29.72,106.64,816.3441615,0
11915,27.7,85.36,28.57,77.1,816.1464146,0
11916,48.94,-54.57,44.88,-63.51,816.1408394,0
11917,50.35,80.23,43.35,77.04,816.0786741,0
11918,34.45,108.75,28.19,113.22,815.8643881,0
11919,58.79,16.91,53.05,8.79,815.6478089,0
11920,6.58,3.32,5.26,-3.93,815.601307,0
11921,48.35,11.79,54.38,18.47,815.5209,0
11922,25.57,-103.41,19.44,-99.07,815.3630667,0
11923,62.09,129.77,62.53,114.04,815.3337696,0
11924,39.87,-75.24,39.05,-84.67,815.2918873,0
11925,41.25,-8.68,46.18,-1.2,814.8722878,0
11926,42.21,-83.35,35.04,-85.2,814.865509,0
11927,39.12,117.35,43.54,125.12,814.7821663,0
11928,40.98,28.81,44.82,20.31,814.7815145,0
11929,49.63,6.21,42.53,8.79,814.5363165,0
11930,29.83,121.46,22.58,120.35,814.4842556,0
11931,34.43,135.24,33.51,126.49,814.3132192,0
11932,4.82,-52.36,-1.38,-48.48,814.0998854,0
11933,29.52,108.83,23.39,113.3,814.0452945,0
11934,46.24,6.11,39.25,9.05,814.0309264,0
11935,33.26,44.23,33.82,35.49,813.7912899,0
11936,52.17,20.97,46.22,14.46,813.408882,0
11937,53.35,-2.27,53.63,9.99,812.7972294,0
11938,41.07,-73.71,42.21,-83.35,812.4892404,0
11939,36.23,59.64,32.75,51.86,812.3723445,0
11940,9.74,118.76,7.13,125.65,812.246567,0
11941,51.15,51.54,43.86,51.09,812.1727944,0
11942,41.26,69.28,42.49,59.62,812.1444498,0
11943,48.07,-1.73,41.3,2.08,811.9469648,0
11944,27.44,41.69,26.47,49.8,811.9417939,0
11945,50.47,19.08,51.52,7.61,811.8321376,0
11946,22.15,113.59,21.22,105.81,811.7098332,0
11947,47.15,-1.61,45.63,8.73,811.6862366,0
11948,32.22,-80.75,38.85,-77.04,811.6132276,0
11949,38.28,114.7,41.38,123.29,811.5953057,0
11950,54.63,25.29,55.62,12.66,811.3710051,0
11951,34.45,108.75,36.86,117.22,811.2107317,0
11952,49.19,-123.18,53.31,-113.58,810.9978208,0
11953,62.09,129.77,60.72,114.83,810.8413456,0
11954,48.35,11.79,55.62,12.66,810.6947853,0
11955,37.42,-5.89,41.3,2.08,810.6268345,0
11956,57.54,-4.05,52.31,4.76,810.6169817,0
11957,-34.56,-58.42,-40.87,-63,810.0742044,0
11958,54.63,25.29,55.41,37.91,810.0495055,0
11959,71.29,-156.77,64.82,-147.86,810.0397169,0
11960,42.36,19.25,40.98,28.81,809.9102772,0
11961,30.21,-91.99,33.64,-84.43,809.8942241,0
11962,-14.66,17.72,-8.86,13.23,809.8365087,0
11963,44.88,-93.22,39.72,-86.29,809.7615598,0
11964,-16.63,-49.22,-23.43,-46.47,809.6777211,0
11965,24.54,118.13,31.78,117.3,809.4659312,0
11966,43.44,5.21,50.56,3.09,809.3955755,0
11967,33.39,120.13,40.08,116.58,809.273684,0
11968,53.35,-2.27,52.46,9.69,809.1321259,0
11969,15.59,32.55,13.61,25.32,808.9809514,0
11970,51.89,0.24,49.5,11.07,808.7414886,0
11971,47.46,8.55,51.87,-0.37,808.5108935,0
11972,21.22,105.81,23.39,113.3,808.4054366,0
11973,50.03,8.54,51.38,-2.72,808.2392448,0
11974,48.36,35.1,55.41,37.91,808.1520254,0
11975,24.54,118.13,28.92,111.64,808.1100651,0
11976,35.88,-78.79,42.21,-83.35,808.0362532,0
11977,-17.64,-63.14,-20.54,-70.18,807.9137722,0
11978,-5.28,141.23,-9.44,147.22,807.8603545,0
11979,41.98,-87.9,35.04,-85.2,807.8123736,0
11980,36.18,5.32,43.44,5.21,807.8103852,0
11981,38.94,-77.46,42.88,-85.52,807.7341648,0
11982,34.79,135.44,40.73,140.69,807.5231383,0
11983,43.68,10.39,47.44,19.26,807.2406114,0
11984,42.53,8.79,44.83,-0.72,807.08242,0
11985,25.08,121.23,22.31,113.91,807.0412619,0
11986,29.98,-95.34,32.69,-103.22,806.9223549,0
11987,40.78,-73.87,34.27,-77.9,806.8566751,0
11988,42.21,-83.35,35.21,-80.94,806.5673452,0
11989,40.79,-111.98,36.78,-119.72,806.542366,0
11990,53.42,-6.27,50.46,4.45,806.4443899,0
11991,40.78,-73.87,42.21,-83.35,806.4431336,0
11992,24.96,46.7,24.43,54.65,806.296446,0
11993,10.45,14.26,3.72,11.55,806.2767981,0
11994,50.47,19.08,50.4,30.45,806.1811562,0
11995,40.08,116.58,43.54,125.12,806.1682501,0
11996,22.61,108.17,29.72,106.64,806.0872894,0
11997,48.69,9.22,55.62,12.66,805.9746128,0
11998,47.46,8.55,47.44,19.26,805.9470283,0
11999,24.54,118.13,31.49,120.43,805.9463525,0
12000,43.44,5.21,36.28,6.62,805.8713352,0
12001,41.98,-87.9,39.14,-96.67,805.7904207,0
12002,66,57.22,64.36,40.43,805.7852907,0
12003,41.41,19.72,40.9,29.31,805.6683352,0
12004,29.48,60.91,29.54,52.59,805.6308174,0
12005,45.47,-73.74,44.88,-63.51,805.6112786,0
12006,41.41,19.72,43.68,10.39,805.5408038,0
12007,48.11,16.57,42.7,23.41,805.4468425,0
12008,44.71,65.59,49.67,73.33,805.06136,0
12009,24.54,118.13,31.2,121.34,805.0574664,0
12010,28.56,121.43,28.19,113.22,805.0335044,0
12011,36.91,50.68,36.23,59.64,804.7992444,0
