id,srcLatitude,srcLongitude,destLatitude,destLongitude,airline,srcAirport,destAirport
10720,52.38,13.52,45.73,5.09,easyJet,SXF,LYS
10721,-15.87,-47.92,-7.23,-48.24,Azul,BSB,AUX
10722,33.43,-112.01,36.59,-121.84,US Airways,PHX,MRY
10723,43.63,1.36,48.35,11.79,Lufthansa,TLS,MUC
10724,30.78,114.21,25.07,121.55,TransAsia Airways,WUH,TSA
10725,49.63,6.21,53.42,-6.27,Luxair,LUX,DUB
10726,48.11,16.57,52.31,4.76,Austrian Airlines,VIE,AMS
10727,42.23,-85.55,33.64,-84.43,Delta Air Lines,AZO,ATL
10728,26.56,-78.7,33.64,-84.43,Delta Air Lines,FPO,ATL
10729,44.83,-0.72,36.67,-4.5,Air Senegal International,BOD,AGP
10730,60.19,11.1,68.49,16.68,Scandinavian Airlines System,OSL,EVE
10731,-28.59,-65.75,-34.56,-58.42,Aerolineas Argentinas,CTC,AEP
10732,36.28,-94.31,44.88,-93.22,Delta Air Lines,XNA,MSP
10733,44.88,-63.51,40.78,-73.87,WestJet,YHZ,LGA
10734,41.9,2.76,50.46,4.45,Ryanair,GRO,CRL
10735,7.57,-72.04,10.91,-63.97,Conviasa,STD,PMV
10736,6.36,2.38,1.91,9.81,Chicago Express,COO,BSG
10737,34.86,136.81,33.51,126.49,Korean Air,NGO,CJU
10738,55.62,12.66,47.59,7.53,easyJet,CPH,BSL
10739,49.95,7.26,41.9,2.76,Ryanair,HHN,GRO
10740,60.19,11.1,52.31,4.76,Scandinavian Airlines System,OSL,AMS
10741,48.78,44.35,40.15,44.4,BRA-Transportes Aereos,VOG,EVN
10742,41.41,-81.85,32.9,-80.04,United Airlines,CLE,CHS
10743,50.87,7.14,47.44,19.26,Germanwings,CGN,BUD
10744,34.45,108.75,33.78,119.15,Air Foyle,XIY,HIA
10745,27.93,-15.39,33.37,-7.59,Binter Canarias,LPA,CMN
10746,-14.82,-39.03,-15.87,-47.92,Oceanair,IOS,BSB
10747,44.88,-93.22,39.05,-84.67,Delta Air Lines,MSP,CVG
10748,19.93,110.46,28.19,113.22,Japan Air System,HAK,CSX
10749,-12.91,-38.33,-19.63,-43.97,TAM Brazilian Airlines,SSA,CNF
10750,32.9,-97.04,33.56,-86.75,US Airways,DFW,BHM
10751,40.98,28.81,48.36,35.1,ZABAIKAL AIRLINES,IST,DNK
10752,50.46,4.45,48.17,17.21,Ryanair,CRL,BTS
10753,45.63,8.73,43.3,-2.91,Formosa Airlines,MXP,BIO
10754,25.79,-80.29,33.64,-84.43,Virgin Atlantic Airways,MIA,ATL
10755,6.58,3.32,0.46,9.41,Ethiopian Airlines,LOS,LBV
10756,25.25,55.36,30.55,47.66,Fly Dubai,DXB,BSR
10757,30.84,108.41,23.39,113.3,Shenzhen Airlines,WXN,CAN
10758,43.82,18.33,40.9,29.31,Turkish Airlines,SJJ,SAW
10759,34.55,119.25,25.94,119.66,Huaxia,LYG,FOC
10760,5.3,100.28,13.91,100.61,Thai AirAsia,PEN,DMK
10761,-26.14,28.25,-17.93,31.09,Air Zimbabwe,JNB,HRE
10762,-5.06,119.55,3.33,117.57,Lion Mentari Airlines,UPG,TRK
10763,56.92,23.97,53.63,9.99,Air Baltic,RIX,HAM
10764,53.42,-6.27,50.87,7.14,Germanwings,DUB,CGN
10765,42.21,-83.35,33.64,-84.43,Southwest Airlines,DTW,ATL
10766,38.94,-77.46,34.64,-86.78,United Airlines,IAD,HSV
10767,50.03,8.54,41.8,12.25,Lufthansa,FRA,FCO
10768,-5.06,119.55,-3.71,128.09,Sriwijaya Air,UPG,AMQ
10769,40.98,28.81,43.45,39.96,Turkish Airlines,IST,AER
10770,69.68,18.92,78.25,15.47,Scandinavian Airlines System,TOS,LYR
10771,-17.82,25.82,-26.14,28.25,South African Airways,LVI,JNB
10772,40.9,29.31,33.82,35.49,Pegasus Airlines,SAW,BEY
10773,28.78,-81.24,37.33,-79.98,Allegiant Air,SFB,ROA
10774,45.45,9.28,51.51,0.06,Alitalia,LIN,LCY
10775,36.65,137.19,37.47,126.45,Asiana Airlines,TOY,ICN
10776,43.66,7.22,40.49,-3.57,Iberia Airlines,NCE,MAD
10777,34.9,-82.22,40.69,-74.17,United Airlines,GSP,EWR
10778,29.98,-95.34,34.64,-86.78,United Airlines,IAH,HSV
10779,17.47,47.12,21.68,39.16,Saudi Arabian Airlines,SHW,JED
10780,-35.31,149.2,-27.38,153.12,Virgin Australia,CBR,BNE
10781,24.54,118.13,32.9,115.82,Air Foyle,XMN,FUG
10782,51.52,7.61,47.44,19.26,Wizz Air,DTM,BUD
10783,45.32,-75.67,44.88,-63.51,WestJet,YOW,YHZ
10784,49.57,117.33,52.27,104.39,Hainan Airlines,NZH,IKT
10785,46.61,-111.98,39.86,-104.67,United Airlines,HLN,DEN
10786,48.69,9.22,40.89,14.29,Meridiana,STR,NAP
